has_mcq,reading_time_avg,grade_level_sum,story_type,freadom_point,reading_count,view_count,like_count,is_published,mcq,landscape,experience_count,view_count-level_1:easy,view_count-level_1:hard,view_count-level_2:easy,view_count-level_2:hard,view_count-level_3:easy,view_count-level_3:hard,view_count-level_4:easy,view_count-level_4:hard,view_count-level_5:easy,view_count-level_5:hard,view_count-level_6:easy,view_count-level_6:hard,view_count-level_7:easy,view_count-level_7:hard,view_count-level_8:hard,view_count-level_9:easy,view_count-level_9:hard,completed_count-level_8:easy,completed_count-level_1:easy,completed_count-level_1:hard,completed_count-level_2:easy,completed_count-level_2:hard,completed_count-level_3:easy,completed_count-level_3:hard,completed_count-level_4:easy,completed_count-level_4:hard,completed_count-level_5:easy,completed_count-level_5:hard,completed_count-level_6:easy,completed_count-level_6:hard,completed_count-level_7:easy,completed_count-level_7:hard,completed_count-level_8:hard,completed_count-level_9:easy,completed_count-level_9:hard,reading_time_avg,grade_level_sum,story_id_code
True,3.5,2.5,read,0,4181,6456,412,True,True,False,166,369,164,551,598,831,799,618,798,484,565,307,191,42,60,0.0,0.0,0.0,0.0,131,95,243,456,403,629,354,649,288,455,185,144,24,56,0.0,0.0,0.0,3.5,2.5,766
True,3.5,3.5,read,0,1203,1547,144,True,True,False,69,11,24,154,320,225,359,63,225,39,25,31,42,2,7,0.0,0.0,0.0,0.0,5,22,87,257,126,315,40,212,30,21,23,34,2,7,0.0,0.0,0.0,3.5,3.5,1781
False,7.5,2.5,read,0,1911,2902,202,True,False,False,98,313,119,472,421,433,492,193,343,10,35,11,15,0,2,0.0,0.0,0.0,0.0,108,74,221,330,239,414,122,308,7,30,9,10,0,1,0.0,0.0,0.0,7.5,2.5,464
True,12.5,12.0,read,0,106,203,24,False,True,False,13,0,0,0,0,0,0,0,0,0,36,86,65,0,6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,17,34,46,0,3,0.0,0.0,0.0,12.5,12.0,1152
True,12.5,7.5,read,0,2136,3454,264,True,True,False,92,1,1,0,1,0,201,427,641,659,801,278,417,11,54,0.0,0.0,0.0,0.0,0,1,0,0,0,158,155,409,285,564,163,337,5,46,0.0,0.0,0.0,12.5,7.5,1208
True,12.5,11.5,read,0,2424,3879,305,True,True,False,116,0,1,0,0,0,0,1,68,141,429,960,876,875,557,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,46,74,307,451,660,406,453,0.0,0.0,0.0,12.5,11.5,1389
True,7.5,7.5,read,0,3912,5765,366,True,True,False,202,89,40,269,334,358,556,1021,1017,1016,837,61,100,7,11,0.0,0.0,0.0,0.0,54,35,153,270,207,467,519,747,587,646,44,80,4,10,0.0,0.0,0.0,7.5,7.5,1353
False,12.5,11.5,read,0,1341,2368,169,True,False,False,52,0,0,0,0,0,1,1,2,1,18,591,513,834,461,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,2,0,13,240,385,336,357,0.0,0.0,0.0,12.5,11.5,983
False,12.5,11.5,read,0,1860,2724,241,True,False,False,98,0,1,0,0,0,210,76,407,227,552,420,465,246,112,0.0,0.0,0.0,0.0,0,1,0,0,0,170,37,310,115,447,203,362,112,77,0.0,0.0,0.0,12.5,11.5,1654
True,7.5,9.5,read,0,3700,5941,401,True,True,False,150,0,1,0,1,1,66,0,583,841,1064,1443,1228,306,424,0.0,0.0,0.0,0.0,0,0,0,0,0,39,0,355,375,728,717,907,187,355,0.0,0.0,0.0,7.5,9.5,1400
