story_id_code,collection
393,i_Funny
393,i_Animal
426,i_Funny
426,i_Animal
423,i_Nature
423,i_Science
1506,i_Family/Friends
1618,i_Family/Friends
1618,i_Animal
1674,i_Funny
1060,i_Life_skills
1060,i_Family/Friends
1397,i_Life_skills
1397,i_Family/Friends
1163,i_Adventure
1163,i_Family/Friends
0,i_Nature
0,i_Animal
1819,i_Funny
1287,i_Life_skills
1287,i_Family/Friends
1816,i_Funny
1816,i_Life_skills
1017,i_Family/Friends
1017,i_Animal
877,i_Life_skills
877,i_Family/Friends
1917,i_Adventure
1917,i_Life_skills
1112,i_Life_skills
1112,i_Animal
1357,i_Funny
1357,i_Family/Friends
1872,i_Life_skills
1475,i_Life_skills
1475,i_Family/Friends
929,i_Animal
1260,i_Adventure
211,i_Nature
211,i_Animal
678,i_Nature
678,i_Animal
355,i_Funny
1547,i_Funny
762,i_Adventure
762,i_Animal
1659,i_Life_skills
1659,i_Animal
1617,i_Funny
1796,i_Nature
1796,i_Life_skills
388,i_Adventure
388,i_Family/Friends
1697,i_Nature
1697,i_Family/Friends
1272,i_Adventure
1272,i_Funny
1111,i_Funny
1111,i_Animal
1177,i_Science
1177,i_Funny
1840,i_Adventure
1840,i_Family/Friends
198,i_Adventure
198,i_Nature
418,i_Adventure
418,i_Funny
509,i_Life_skills
509,i_Family/Friends
1580,i_Adventure
1580,i_Life_skills
812,i_Animal
1288,i_Life_skills
1288,i_Sports_&_Games
1879,i_Adventure
1879,i_Animal
173,i_Adventure
173,i_Family/Friends
779,i_Adventure
779,i_Family/Friends
1934,i_Life_skills
1934,i_Family/Friends
1168,i_Culture/History
1168,i_Nature
1465,i_Funny
1465,i_Family/Friends
502,i_Funny
502,i_Family/Friends
1453,i_Funny
1453,i_Family/Friends
1698,i_Adventure
1698,i_Family/Friends
1633,i_Adventure
1633,i_Animal
1369,i_Sports_&_Games
294,i_Funny
294,i_Family/Friends
1491,i_Adventure
1491,i_Life_skills
50,i_Funny
50,i_Life_skills
1664,i_freadom_Treasures
1368,i_Life_skills
1368,i_Family/Friends
997,i_Math_&_Numbers
997,i_Life_skills
1640,i_Life_skills
1640,i_Family/Friends
468,i_Nature
468,i_Life_skills
1410,i_Funny
964,i_Funny
964,i_Family/Friends
1961,i_Animal
1710,i_Science
1710,i_Life_skills
112,i_Math_&_Numbers
498,i_Math_&_Numbers
498,i_Life_skills
1023,i_Life_skills
1023,i_Family/Friends
1424,i_Culture/History
1424,i_Funny
1887,i_Nature
1887,i_Animal
1276,i_Nature
1276,i_Funny
861,i_Nature
861,i_Life_skills
700,i_Math_&_Numbers
700,i_Sports_&_Games
1242,i_Nature
1242,i_Science
1344,i_Nature
1344,i_Animal
1154,i_Family/Friends
505,i_Life_skills
505,i_Family/Friends
692,i_Math_&_Numbers
692,i_Life_skills
697,i_Math_&_Numbers
524,i_Science
524,i_Funny
913,i_Funny
913,i_Animal
758,i_Life_skills
758,i_Family/Friends
18,i_Nature
18,i_Animal
847,i_Adventure
847,i_Animal
921,i_Adventure
921,i_Science
1059,i_Math_&_Numbers
1059,i_Life_skills
1125,i_Nature
1125,i_Science
845,i_Funny
845,i_Life_skills
1320,i_Life_skills
1732,i_Science
1732,i_Animal
1268,i_Nature
1268,i_Science
991,i_Adventure
991,i_Life_skills
301,i_Life_skills
301,i_Animal
1561,i_Adventure
1561,i_Animal
993,i_Adventure
993,i_Animal
1079,i_Nature
1079,i_Science
244,i_Adventure
244,i_Animal
1729,i_Funny
1729,i_Animal
1479,i_Funny
1479,i_Animal
1097,i_Science
1097,i_Life_skills
778,i_Funny
778,i_Animal
1830,i_Funny
1444,i_Adventure
1444,i_Life_skills
562,i_Animal
1501,i_Adventure
1501,i_Funny
1396,i_Adventure
1396,i_Animal
442,i_Nature
442,i_Animal
960,i_Funny
960,i_Animal
1153,i_Adventure
1153,i_Funny
911,i_Family/Friends
911,i_Animal
482,i_Funny
482,i_Animal
1010,i_Funny
1010,i_Animal
1667,i_Funny
1667,i_Animal
1239,i_Funny
1239,i_Animal
1329,i_Science
1329,i_Life_skills
1072,i_Math_&_Numbers
1072,i_Funny
1090,i_Family/Friends
1090,i_Animal
1186,i_Life_skills
1186,i_Family/Friends
70,i_Family/Friends
70,i_Sports_&_Games
189,i_Adventure
189,i_Life_skills
27,i_Math_&_Numbers
27,i_Life_skills
1150,i_Life_skills
1150,i_Sports_&_Games
1227,i_Family/Friends
520,i_Family/Friends
520,i_Sports_&_Games
1406,i_Life_skills
1253,i_Adventure
1253,i_Animal
1258,i_Family/Friends
837,i_Nature
573,i_Nature
1314,i_Nature
1314,i_Science
1458,i_Life_skills
73,i_Family/Friends
73,i_Sports_&_Games
620,i_Adventure
620,i_Funny
13,i_Nature
13,i_Science
1035,i_Adventure
1035,i_Nature
415,i_Funny
415,i_Sports_&_Games
448,i_Math_&_Numbers
448,i_Funny
21,i_Life_skills
21,i_Sports_&_Games
403,i_Nature
403,i_Funny
472,i_Family/Friends
472,i_Math_&_Numbers
472,i_Art_and_Music
1459,i_Math_&_Numbers
1002,i_Adventure
1002,i_Life_skills
1356,i_Adventure
1356,i_Life_skills
674,i_Adventure
674,i_Family/Friends
1181,i_Life_skills
218,i_Nature
218,i_Animal
1665,i_Math_&_Numbers
1665,i_Life_skills
1730,i_Science
1367,i_Adventure
1367,i_Animal
637,i_Adventure
637,i_Family/Friends
1364,i_Adventure
1364,i_Nature
1130,i_Science
1130,i_Animal
1550,i_Nature
1550,i_Animal
1568,i_Adventure
1568,i_Family/Friends
1279,i_Funny
1279,i_Family/Friends
480,i_Family/Friends
480,i_Animal
337,i_Funny
337,i_Life_skills
1132,i_Funny
1504,i_Animal
1104,i_Adventure
1104,i_Science
1250,i_Adventure
422,i_Video
422,i_Animal
422,i_Nature
1565,i_Adventure
1565,i_Video
365,i_Video
365,i_Family/Friends
1230,i_Funny
1230,i_Video
884,i_Funny
884,i_Video
646,i_Video
646,i_Family/Friends
646,i_Funny
1846,i_Life_skills
1846,i_Video
1237,i_Video
1237,i_Family/Friends
682,i_Adventure
682,i_Video
548,i_Funny
548,i_Video
1196,i_Adventure
1196,i_Video
933,i_Nature
933,i_Video
6,i_Video
6,i_Family/Friends
1055,i_Video
1055,i_Animal
1378,i_Funny
1378,i_Video
668,i_Nature
668,i_Video
43,i_Adventure
43,i_Animal
792,i_Adventure
792,i_Video
972,i_Video
972,i_Family/Friends
1652,i_Life_skills
1652,i_Video
567,i_Life_skills
567,i_Video
179,i_Life_skills
179,i_Video
1859,i_Life_skills
1859,i_Video
523,i_Life_skills
523,i_Video
628,i_Life_skills
628,i_Video
954,i_Life_skills
954,i_Video
906,i_Video
906,i_Sports_&_Games
623,i_Video
623,i_Animal
1586,i_Animal
1586,i_Video
1586,i_Nature
329,i_Funny
329,i_Video
1727,i_Video
1727,i_Animal
1831,i_Funny
1831,i_Video
530,i_Science
530,i_Life_skills
1699,i_Culture/History
1699,i_Video
85,i_Video
85,i_Animal
749,i_Science
749,i_Life_skills
1316,i_Video
1316,i_Family/Friends
254,i_Video
254,i_Animal
227,i_Video
227,i_Animal
1118,i_Life_skills
1118,i_Video
1313,i_Life_skills
1313,i_Video
279,i_Life_skills
279,i_Video
1706,i_Nature
1706,i_Video
1680,i_Video
1680,i_Animal
1611,i_Video
1611,i_Animal
1959,i_Video
1959,i_Animal
1797,i_Life_skills
1797,i_Video
1593,i_Life_skills
1593,i_Video
1005,i_Adventure
1005,i_Video
1484,i_Video
1484,i_Family/Friends
1365,i_Life_skills
1365,i_Video
11,i_Life_skills
11,i_Video
1908,i_Nature
1908,i_Animal
1509,i_Culture/History
1509,i_Animal
237,i_Culture/History
237,i_Animal
1439,i_Culture/History
1439,i_Animal
1306,i_Culture/History
1306,i_Animal
896,i_Culture/History
896,i_Animal
1849,i_Adventure
1849,i_Animal
1243,i_Animal
1243,i_Adventure
1243,i_Culture/History
1471,i_Funny
1471,i_Animal
1199,i_Culture/History
1199,i_Animal
1323,i_Culture/History
1323,i_Animal
868,i_Culture/History
868,i_Animal
611,i_Culture/History
611,i_Animal
201,i_Adventure
1301,i_Adventure
1301,i_Animal
1409,i_Culture/History
1409,i_Animal
45,i_Family/Friends
457,i_Life_skills
285,i_Adventure
285,i_Family/Friends
1695,i_Culture/History
1695,i_Life_skills
125,i_Adventure
125,i_Math_&_Numbers
200,i_Life_skills
318,i_Funny
324,i_Funny
859,i_Animal
859,i_Adventure
859,i_Nature
128,i_Funny
470,i_Science
470,i_Family/Friends
470,i_Sports_&_Games
1641,i_Funny
1374,i_Adventure
1374,i_Math_&_Numbers
648,i_Adventure
283,i_Funny
88,i_Animal
88,i_Funny
88,i_Adventure
378,i_Life_skills
378,i_Animal
1756,i_Life_skills
1332,i_Life_skills
461,i_Life_skills
1760,i_Funny
1948,i_Adventure
1948,i_Funny
366,i_Animal
366,i_Life_skills
366,i_Funny
924,i_Funny
924,i_Animal
1210,i_Science
655,i_Animal
1564,i_Funny
1564,i_Animal
1566,i_Family/Friends
1437,i_Animal
1386,i_Life_skills
1448,i_Nature
1448,i_Life_skills
751,i_Animal
973,i_Funny
973,i_Life_skills
887,i_Life_skills
979,i_Family/Friends
979,i_Animal
1865,i_Life_skills
1865,i_Family/Friends
493,i_Funny
493,i_Family/Friends
1088,i_Nature
1088,i_Animal
940,i_Family/Friends
940,i_Animal
1688,i_Funny
1688,i_Animal
87,i_Life_skills
87,i_Animal
1261,i_Nature
1261,i_Animal
796,i_Science
313,i_Funny
313,i_Animal
803,i_Animal
1650,i_Funny
1650,i_Animal
363,i_Math_&_Numbers
363,i_Family/Friends
684,i_Funny
684,i_Family/Friends
1724,i_Animal
1676,i_Adventure
1676,i_Funny
74,i_Adventure
74,i_Funny
808,i_Family/Friends
1808,i_Nature
1808,i_Funny
1858,i_Nature
1858,i_Science
687,i_Adventure
135,i_Funny
135,i_Family/Friends
995,i_freadom_Treasures
809,i_Nature
809,i_Animal
707,i_Nature
707,i_Animal
925,i_Funny
1957,i_Life_skills
714,i_Funny
193,i_Adventure
193,i_Animal
1416,i_Nature
1416,i_Animal
492,i_Funny
492,i_Animal
1833,i_Nature
1833,i_Wings_of_Words
715,i_Life_skills
715,i_Family/Friends
715,i_Wings_of_Words
586,i_Family/Friends
1053,i_Life_skills
1053,i_Wings_of_Words
462,i_Adventure
462,i_Family/Friends
1207,i_Life_skills
1207,i_Wings_of_Words
920,i_Wings_of_Words
350,i_Family/Friends
350,i_Wings_of_Words
350,i_Adventure
1051,i_Wings_of_Words
1051,i_Family/Friends
1051,i_Nature
661,i_Wings_of_Words
661,i_Family/Friends
1286,i_Family/Friends
1286,i_Wings_of_Words
1286,i_Adventure
1523,i_Family/Friends
1523,i_Wings_of_Words
1523,i_Adventure
1158,i_Nature
1158,i_Wings_of_Words
1289,i_Life_skills
1289,i_Wings_of_Words
214,i_Family/Friends
613,i_Family/Friends
946,i_Culture/History
946,i_Family/Friends
1687,i_Life_skills
1317,i_Funny
402,i_Nature
402,i_Family/Friends
163,i_Animal
844,i_Science
1077,i_Funny
508,i_Funny
508,i_Family/Friends
419,i_Science
419,i_Life_skills
734,i_Nature
734,i_Wings_of_Words
1299,i_Animal
1634,i_Life_skills
1398,i_Funny
788,i_Life_skills
1070,i_Funny
1070,i_Family/Friends
1478,i_Funny
576,i_Nature
155,i_Family/Friends
282,i_Adventure
622,i_Adventure
622,i_Animal
716,i_Family/Friends
1033,i_Life_skills
1033,i_Animal
919,i_Nature
919,i_Family/Friends
1246,i_Family/Friends
172,i_Adventure
264,i_Wings_of_Words
264,i_Animal
246,i_Family/Friends
108,i_Life_skills
108,i_Family/Friends
1691,i_Family/Friends
1225,i_Funny
1853,i_Life_skills
1613,i_Culture/History
142,i_Life_skills
142,i_Family/Friends
235,i_Nature
1549,i_Nature
1403,i_Nature
1403,i_Animal
1120,i_Life_skills
1120,i_Wings_of_Words
853,i_Nature
853,i_Life_skills
1277,i_Funny
801,i_Science
750,i_Adventure
750,i_Funny
1579,i_Nature
1601,i_Nature
768,i_Life_skills
768,i_Animal
1741,i_Animal
101,i_Funny
101,i_Animal
1481,i_Adventure
1481,i_Family/Friends
1014,i_Adventure
568,i_Nature
568,i_Science
604,i_Science
380,i_Adventure
1955,i_Science
182,i_Animal
48,i_Family/Friends
209,i_Nature
209,i_Family/Friends
1962,i_Life_skills
985,i_Family/Friends
96,i_Science
1283,i_Science
38,i_Science
1916,i_Family/Friends
1146,i_Family/Friends
1102,i_Funny
261,i_Adventure
261,i_Culture/History
386,i_Adventure
1867,i_Science
619,i_Funny
1025,i_Funny
1555,i_Family/Friends
814,i_Funny
1636,i_Family/Friends
961,i_Life_skills
1527,i_Animal
1527,i_Life_skills
1527,i_Funny
1570,i_Adventure
1147,i_Nature
517,i_Culture/History
1893,i_Nature
649,i_Science
649,i_Family/Friends
1007,i_Family/Friends
1402,i_Adventure
1402,i_Animal
1956,i_Adventure
410,i_Adventure
690,i_Science
690,i_Family/Friends
745,i_Nature
529,i_Life_skills
1545,i_Science
1545,i_Life_skills
395,i_Math_&_Numbers
1973,i_Science
1334,i_Nature
1334,i_Life_skills
1093,i_Animal
1815,i_Animal
1681,i_Funny
1681,i_Animal
100,i_Nature
100,i_Animal
171,i_Adventure
171,i_Life_skills
540,i_Life_skills
1769,i_Culture/History
1769,i_Math_&_Numbers
944,i_Culture/History
1539,i_Family/Friends
603,i_Sports_&_Games
706,i_Life_skills
1871,i_Life_skills
1871,i_Animal
873,i_Family/Friends
873,i_Animal
1925,i_Life_skills
1925,i_Animal
863,i_Nature
863,i_Animal
879,i_Nature
879,i_Life_skills
821,i_Nature
821,i_Life_skills
735,i_Life_skills
1543,i_Life_skills
343,i_Life_skills
443,i_Life_skills
667,i_Science
1235,i_Adventure
907,i_Funny
600,i_Funny
1709,i_Adventure
1709,i_Family/Friends
918,i_Adventure
496,i_Life_skills
1577,i_Culture/History
780,i_Adventure
1450,i_Adventure
1450,i_Nature
927,i_Adventure
1275,i_Animal
1028,i_Life_skills
441,i_Math_&_Numbers
441,i_Life_skills
281,i_Adventure
857,i_Adventure
857,i_Animal
1508,i_Adventure
1508,i_Funny
176,i_Sports_&_Games
1100,i_Sports_&_Games
1001,i_Funny
1001,i_Animal
1571,i_Adventure
1785,i_Adventure
1666,i_Animal
1216,i_Life_skills
1615,i_Life_skills
507,i_Nature
507,i_Animal
1880,i_Science
1880,i_Life_skills
1944,i_Culture/History
1798,i_Culture/History
356,i_Culture/History
1042,i_Animal
306,i_Science
602,i_Culture/History
602,i_Audio
807,i_Audio
807,i_Animal
1904,i_Culture/History
1904,i_Audio
1203,i_Life_skills
1203,i_Audio
1514,i_Audio
1514,i_Animal
669,i_Life_skills
669,i_Audio
1762,i_Culture/History
1762,i_Audio
249,i_Audio
249,i_Animal
1970,i_Audio
1970,i_Animal
333,i_Adventure
333,i_Audio
205,i_Family/Friends
205,i_Animal
1950,i_Audio
1950,i_Animal
701,i_Culture/History
701,i_Audio
841,i_Life_skills
841,i_Video
1642,i_Audio
1642,i_Animal
571,i_Culture/History
571,i_Audio
1013,i_Culture/History
1013,i_Audio
1622,i_Audio
1622,i_Animal
1581,i_Audio
1581,i_Animal
898,i_Audio
898,i_Animal
757,i_Life_skills
757,i_Audio
598,i_Life_skills
595,i_Adventure
595,i_Life_skills
1197,i_Animal
1247,i_Life_skills
1247,i_Sports_&_Games
479,i_Life_skills
854,i_Science
1530,i_Science
817,i_Science
191,i_Life_skills
191,i_Audio
726,i_Culture/History
726,i_Audio
912,i_Audio
912,i_Animal
1972,i_Audio
1972,i_Animal
645,i_Audio
645,i_Festivals
645,i_Culture/History
1434,i_Culture/History
1434,i_Audio
275,i_Audio
275,i_Animal
1952,i_Culture/History
1952,i_Audio
1952,i_Animal
497,i_Culture/History
497,i_Audio
29,i_Culture/History
29,i_Audio
1266,i_Life_skills
1266,i_Audio
1905,i_Life_skills
1905,i_Audio
1482,i_Life_skills
1482,i_Audio
1500,i_Funny
1500,i_Audio
996,i_Culture/History
996,i_Audio
1233,i_Audio
1233,i_Animal
1191,i_Nature
1191,i_Life_skills
1165,i_Life_skills
82,i_Nature
82,i_Life_skills
391,i_Life_skills
391,i_Audio
1738,i_Audio
1738,i_Animal
1567,i_Culture/History
1567,i_Audio
1912,i_Audio
1474,i_Audio
1474,i_Animal
1454,i_Audio
1454,i_Animal
319,i_Audio
319,i_Animal
531,i_Audio
531,i_Animal
1789,i_Culture/History
1789,i_Audio
938,i_Audio
938,i_Adventure
938,i_Culture/History
1490,i_Culture/History
1490,i_Audio
277,i_Culture/History
277,i_Audio
1218,i_Audio
1218,i_Culture/History
1218,i_Nature
1172,i_Life_skills
1172,i_Audio
67,i_Audio
67,i_Life_skills
67,i_Adventure
663,i_Audio
663,i_Festivals
663,i_Culture/History
1524,i_Culture/History
1524,i_Audio
948,i_Culture/History
948,i_Audio
704,i_Culture/History
704,i_Audio
1047,i_Culture/History
1047,i_Audio
263,i_Audio
263,i_Animal
367,i_Culture/History
367,i_Audio
1372,i_Nature
1372,i_Audio
880,i_Culture/History
880,i_Audio
775,i_Culture/History
775,i_Audio
1774,i_Life_skills
1774,i_Audio
1008,i_Audio
1008,i_Animal
686,i_Culture/History
686,i_Audio
383,i_Life_skills
383,i_Audio
713,i_Audio
713,i_Animal
1684,i_Audio
1684,i_Animal
666,i_Audio
666,i_Animal
557,i_Animal
1512,i_Adventure
15,i_Life_skills
1898,i_Family/Friends
1731,i_Animal
1170,i_Life_skills
1058,i_Culture/History
1058,i_Life_skills
3,i_Animal
1126,i_Family/Friends
1126,i_Animal
800,i_Family/Friends
800,i_Animal
897,i_Family/Friends
897,i_Animal
1469,i_Life_skills
1469,i_Animal
1496,i_Adventure
1496,i_Nature
1391,i_Family/Friends
1391,i_Animal
454,i_Nature
454,i_Animal
401,i_Animal
1670,i_Nature
1703,i_Animal
456,i_Family/Friends
303,i_Culture/History
341,i_Family/Friends
1584,i_Math_&_Numbers
1584,i_Animal
1857,i_Nature
1857,i_Animal
385,i_Life_skills
385,i_Family/Friends
1649,i_Life_skills
781,i_Life_skills
1551,i_Animal
582,i_Animal
1270,i_Animal
1936,i_Life_skills
1936,i_Animal
892,i_Nature
1071,i_Nature
1071,i_Animal
1057,i_Funny
1057,i_Animal
1943,i_Life_skills
1943,i_Animal
642,i_Life_skills
284,i_Life_skills
284,i_Animal
1255,i_Animal
840,i_Animal
369,i_Animal
601,i_Animal
599,i_Animal
1900,i_Animal
288,i_Animal
1669,i_Animal
