"k","precision.at.5","recall.at.5","rmse","n"
1,0.117714285714286,0.0359845932815004,0.128961587305171,175
2,0.107692307692308,0.0336062334093057,0.124784116998083,182
3,0.113939393939394,0.037510725973447,0.126647795233529,165
4,0.100529100529101,0.0338175767199682,0.125708793172367,189
5,0.0936708860759494,0.0283238843211671,0.124886109898627,158
6,0.115217391304348,0.0283148540255274,0.138463697842211,184
7,0.101204819277108,0.0318069037658555,0.126351779030443,166
8,0.096551724137931,0.0216831984131558,0.125847527194692,174
9,0.0816091954022989,0.023534985584476,0.129949229458723,174
10,0.115675675675676,0.0334161597177755,0.131058872430482,185
