"user_index","child_id","item_rank","story_id"
12,1935,2,"34"
12,1935,3,"60"
12,1935,4,"63"
12,1935,5,"77"
12,1935,6,"95"
12,1935,7,"96"
12,1935,8,"146"
12,1935,9,"151"
12,1935,10,"170"
13,2062,1,"24"
13,2062,2,"34"
13,2062,3,"60"
13,2062,4,"63"
13,2062,5,"77"
13,2062,6,"95"
13,2062,7,"96"
13,2062,8,"146"
13,2062,9,"151"
13,2062,10,"170"
14,2098,1,"24"
14,2098,2,"60"
14,2098,3,"63"
14,2098,4,"77"
14,2098,5,"96"
14,2098,6,"146"
14,2098,7,"151"
14,2098,8,"170"
14,2098,9,"194"
14,2098,10,"196"
15,2302,1,"24"
15,2302,2,"34"
15,2302,3,"60"
15,2302,4,"63"
15,2302,5,"77"
15,2302,6,"95"
15,2302,7,"96"
15,2302,8,"146"
15,2302,9,"151"
15,2302,10,"170"
16,2462,1,"24"
16,2462,2,"34"
16,2462,3,"60"
16,2462,4,"63"
16,2462,5,"77"
16,2462,6,"95"
16,2462,7,"96"
16,2462,8,"146"
16,2462,9,"151"
16,2462,10,"194"
17,3037,1,"24"
17,3037,2,"34"
17,3037,3,"60"
17,3037,4,"63"
17,3037,5,"77"
17,3037,6,"96"
17,3037,7,"146"
17,3037,8,"151"
17,3037,9,"194"
17,3037,10,"196"
18,3051,1,"0"
18,3051,2,"3"
18,3051,3,"4"
18,3051,4,"9"
18,3051,5,"14"
18,3051,6,"17"
18,3051,7,"41"
18,3051,8,"68"
18,3051,9,"75"
18,3051,10,"109"
19,3100,1,"24"
19,3100,2,"34"
19,3100,3,"60"
19,3100,4,"63"
19,3100,5,"77"
19,3100,6,"95"
19,3100,7,"96"
19,3100,8,"146"
19,3100,9,"151"
19,3100,10,"170"
20,3928,1,"24"
20,3928,2,"34"
20,3928,3,"60"
20,3928,4,"63"
20,3928,5,"77"
20,3928,6,"96"
20,3928,7,"151"
20,3928,8,"194"
20,3928,9,"196"
20,3928,10,"205"
21,3994,1,"9"
21,3994,2,"41"
21,3994,3,"68"
21,3994,4,"75"
21,3994,5,"82"
21,3994,6,"109"
21,3994,7,"142"
21,3994,8,"280"
21,3994,9,"507"
21,3994,10,"570"
22,4231,1,"24"
22,4231,2,"34"
22,4231,3,"60"
22,4231,4,"63"
22,4231,5,"77"
22,4231,6,"96"
22,4231,7,"146"
22,4231,8,"151"
22,4231,9,"170"
22,4231,10,"194"
23,4318,1,"24"
23,4318,2,"34"
23,4318,3,"60"
23,4318,4,"63"
23,4318,5,"77"
23,4318,6,"95"
23,4318,7,"96"
23,4318,8,"146"
23,4318,9,"151"
23,4318,10,"170"
24,4536,1,"24"
24,4536,2,"34"
24,4536,3,"60"
24,4536,4,"63"
24,4536,5,"77"
24,4536,6,"95"
24,4536,7,"96"
24,4536,8,"146"
24,4536,9,"151"
24,4536,10,"170"
25,4548,1,"24"
25,4548,2,"60"
25,4548,3,"63"
25,4548,4,"77"
25,4548,5,"95"
25,4548,6,"96"
25,4548,7,"146"
25,4548,8,"151"
25,4548,9,"194"
25,4548,10,"196"
26,5335,1,"24"
26,5335,2,"34"
26,5335,3,"60"
26,5335,4,"63"
26,5335,5,"77"
26,5335,6,"95"
26,5335,7,"96"
26,5335,8,"146"
26,5335,9,"151"
26,5335,10,"170"
27,5402,1,"24"
27,5402,2,"34"
27,5402,3,"60"
27,5402,4,"63"
27,5402,5,"77"
27,5402,6,"95"
27,5402,7,"96"
27,5402,8,"146"
27,5402,9,"151"
27,5402,10,"170"
28,5672,1,"24"
28,5672,2,"34"
28,5672,3,"60"
28,5672,4,"63"
28,5672,5,"77"
28,5672,6,"95"
28,5672,7,"96"
28,5672,8,"146"
28,5672,9,"151"
28,5672,10,"170"
29,6359,1,"24"
29,6359,2,"34"
29,6359,3,"60"
29,6359,4,"63"
29,6359,5,"77"
29,6359,6,"95"
29,6359,7,"96"
29,6359,8,"146"
29,6359,9,"151"
29,6359,10,"170"
30,6675,1,"24"
30,6675,2,"60"
30,6675,3,"63"
30,6675,4,"77"
30,6675,5,"95"
30,6675,6,"96"
30,6675,7,"146"
30,6675,8,"151"
30,6675,9,"194"
30,6675,10,"196"
31,6804,1,"24"
31,6804,2,"34"
31,6804,3,"60"
31,6804,4,"63"
31,6804,5,"77"
31,6804,6,"95"
31,6804,7,"96"
31,6804,8,"146"
31,6804,9,"151"
31,6804,10,"170"
32,6893,1,"24"
32,6893,2,"34"
32,6893,3,"60"
32,6893,4,"63"
32,6893,5,"77"
32,6893,6,"95"
32,6893,7,"96"
32,6893,8,"146"
32,6893,9,"151"
32,6893,10,"170"
33,6901,1,"24"
33,6901,2,"34"
33,6901,3,"60"
33,6901,4,"63"
33,6901,5,"77"
33,6901,6,"95"
33,6901,7,"96"
33,6901,8,"146"
33,6901,9,"151"
33,6901,10,"170"
34,6911,1,"24"
34,6911,2,"34"
34,6911,3,"60"
34,6911,4,"63"
34,6911,5,"77"
34,6911,6,"95"
34,6911,7,"96"
34,6911,8,"146"
34,6911,9,"151"
34,6911,10,"170"
35,6914,1,"24"
35,6914,2,"34"
35,6914,3,"60"
35,6914,4,"63"
35,6914,5,"77"
35,6914,6,"95"
35,6914,7,"96"
35,6914,8,"146"
35,6914,9,"151"
35,6914,10,"170"
36,7233,1,"24"
36,7233,2,"60"
36,7233,3,"63"
36,7233,4,"77"
36,7233,5,"96"
36,7233,6,"146"
36,7233,7,"151"
36,7233,8,"170"
36,7233,9,"194"
36,7233,10,"196"
37,7243,1,"24"
37,7243,2,"34"
37,7243,3,"60"
37,7243,4,"63"
37,7243,5,"77"
37,7243,6,"95"
37,7243,7,"96"
37,7243,8,"146"
37,7243,9,"151"
37,7243,10,"170"
38,7317,1,"24"
38,7317,2,"34"
38,7317,3,"60"
38,7317,4,"63"
38,7317,5,"77"
38,7317,6,"95"
38,7317,7,"96"
38,7317,8,"146"
38,7317,9,"151"
38,7317,10,"170"
39,7613,1,"24"
39,7613,2,"34"
39,7613,3,"60"
39,7613,4,"63"
39,7613,5,"77"
39,7613,6,"95"
39,7613,7,"96"
39,7613,8,"146"
39,7613,9,"151"
39,7613,10,"170"
40,7874,1,"24"
40,7874,2,"34"
40,7874,3,"60"
40,7874,4,"63"
40,7874,5,"77"
40,7874,6,"95"
40,7874,7,"96"
40,7874,8,"146"
40,7874,9,"151"
40,7874,10,"170"
41,8131,1,"24"
41,8131,2,"34"
41,8131,3,"60"
41,8131,4,"63"
41,8131,5,"77"
41,8131,6,"95"
41,8131,7,"96"
41,8131,8,"146"
41,8131,9,"151"
41,8131,10,"170"
42,8576,1,"24"
42,8576,2,"34"
42,8576,3,"60"
42,8576,4,"63"
42,8576,5,"77"
42,8576,6,"95"
42,8576,7,"96"
42,8576,8,"146"
42,8576,9,"151"
42,8576,10,"170"
43,8592,1,"24"
43,8592,2,"34"
43,8592,3,"60"
43,8592,4,"63"
43,8592,5,"77"
43,8592,6,"96"
43,8592,7,"146"
43,8592,8,"194"
43,8592,9,"196"
43,8592,10,"205"
44,8606,1,"24"
44,8606,2,"34"
44,8606,3,"60"
44,8606,4,"63"
44,8606,5,"77"
44,8606,6,"96"
44,8606,7,"146"
44,8606,8,"151"
44,8606,9,"194"
44,8606,10,"196"
45,8730,1,"24"
45,8730,2,"60"
45,8730,3,"63"
45,8730,4,"77"
45,8730,5,"146"
45,8730,6,"151"
45,8730,7,"170"
45,8730,8,"194"
45,8730,9,"196"
45,8730,10,"229"
46,8879,1,"24"
46,8879,2,"34"
46,8879,3,"60"
46,8879,4,"63"
46,8879,5,"77"
46,8879,6,"95"
46,8879,7,"96"
46,8879,8,"146"
46,8879,9,"151"
46,8879,10,"170"
47,8938,1,"24"
47,8938,2,"34"
47,8938,3,"60"
47,8938,4,"63"
47,8938,5,"77"
47,8938,6,"95"
47,8938,7,"96"
47,8938,8,"146"
47,8938,9,"151"
47,8938,10,"170"
48,9607,1,"24"
48,9607,2,"34"
48,9607,3,"60"
48,9607,4,"63"
48,9607,5,"77"
48,9607,6,"95"
48,9607,7,"96"
48,9607,8,"146"
48,9607,9,"151"
48,9607,10,"170"
49,9977,1,"24"
49,9977,2,"34"
49,9977,3,"60"
49,9977,4,"63"
49,9977,5,"77"
49,9977,6,"95"
49,9977,7,"96"
49,9977,8,"146"
49,9977,9,"151"
49,9977,10,"170"
50,10000,1,"24"
50,10000,2,"34"
50,10000,3,"60"
50,10000,4,"63"
50,10000,5,"77"
50,10000,6,"95"
50,10000,7,"96"
50,10000,8,"146"
50,10000,9,"151"
50,10000,10,"194"
51,10191,1,"24"
51,10191,2,"34"
51,10191,3,"60"
51,10191,4,"63"
51,10191,5,"77"
51,10191,6,"95"
51,10191,7,"96"
51,10191,8,"151"
51,10191,9,"194"
51,10191,10,"196"
52,10335,1,"24"
52,10335,2,"34"
52,10335,3,"60"
52,10335,4,"63"
52,10335,5,"77"
52,10335,6,"95"
52,10335,7,"96"
52,10335,8,"146"
52,10335,9,"151"
52,10335,10,"170"
53,10412,1,"24"
53,10412,2,"34"
53,10412,3,"60"
53,10412,4,"63"
53,10412,5,"77"
53,10412,6,"95"
53,10412,7,"96"
53,10412,8,"151"
53,10412,9,"170"
53,10412,10,"194"
54,10678,1,"24"
54,10678,2,"34"
54,10678,3,"60"
54,10678,4,"63"
54,10678,5,"77"
54,10678,6,"95"
54,10678,7,"96"
54,10678,8,"146"
54,10678,9,"151"
54,10678,10,"170"
55,10689,1,"24"
55,10689,2,"34"
55,10689,3,"60"
55,10689,4,"63"
55,10689,5,"77"
55,10689,6,"95"
55,10689,7,"96"
55,10689,8,"146"
55,10689,9,"151"
55,10689,10,"170"
56,10714,1,"24"
56,10714,2,"34"
56,10714,3,"60"
56,10714,4,"63"
56,10714,5,"77"
56,10714,6,"95"
56,10714,7,"96"
56,10714,8,"146"
56,10714,9,"151"
56,10714,10,"170"
57,10727,1,"24"
57,10727,2,"34"
57,10727,3,"60"
57,10727,4,"63"
57,10727,5,"77"
57,10727,6,"95"
57,10727,7,"96"
57,10727,8,"146"
57,10727,9,"151"
57,10727,10,"170"
58,10908,1,"24"
58,10908,2,"34"
58,10908,3,"63"
58,10908,4,"95"
58,10908,5,"146"
58,10908,6,"151"
58,10908,7,"170"
